time;V(U_a)1;V(U_o)1;
0.00340187;-2.97742;-10.4774;
0.00341187;-2.84831;-10.4774;
0.00342187;-2.71921;-10.4774;
0.00343187;-2.59013;-10.4774;
0.00344187;-2.46106;-10.4774;
0.00345187;-2.33201;-10.4774;
0.00346187;-2.20296;-10.4774;
0.00347187;-2.07393;-10.4773;
0.00348187;-1.94492;-10.4773;
0.00349187;-1.81591;-10.4773;
0.00350187;-1.68692;-10.4773;
0.00351187;-1.55794;-10.4773;
0.00352187;-1.42898;-10.4773;
0.00353187;-1.30003;-10.4773;
0.00354187;-1.17109;-10.4773;
0.00355187;-1.04216;-10.4773;
0.00356187;-0.913246;-10.4773;
0.00357187;-0.784345;-10.4773;
0.00358187;-0.655458;-10.4772;
0.00359187;-0.526583;-10.4772;
0.00360187;-0.397722;-10.4772;
0.00361187;-0.268873;-10.4772;
0.00362187;-0.140037;-10.4772;
0.00363187;-0.0112145;-10.4772;
0.00364187;0.117596;-10.4772;
0.00365187;0.246392;-10.4772;
0.00366187;0.375176;-10.4772;
0.00367187;0.503947;-10.4772;
0.00368187;0.632705;-10.4771;
0.00369187;0.76145;-10.4771;
0.00370187;0.890183;-10.4771;
0.00371187;1.0189;-10.4771;
0.00372187;1.14761;-10.4771;
0.00373187;1.2763;-10.4771;
0.00374187;1.40498;-10.4771;
0.00375187;1.53365;-10.4771;
0.00376187;1.6623;-10.4771;
0.00377187;1.79095;-10.4771;
0.00378187;1.91957;-10.477;
0.00379187;2.04819;-10.477;
0.00380187;2.17679;-10.477;
0.00381187;2.30538;-10.477;
0.00382187;2.43396;-10.477;
0.00383187;2.56252;-10.477;
0.00384187;2.69108;-10.477;
0.00385187;2.81961;-10.477;
0.00386187;2.94814;-10.477;
0.00387187;3.07665;-10.477;
0.00388187;3.20515;-10.477;
0.00389187;3.33364;-10.4769;
0.00390187;3.46211;-10.4769;
0.00391187;3.59057;-10.4769;
0.00392187;3.71902;-10.4769;
0.00393187;3.84745;-10.4769;
0.00394187;3.97588;-10.4769;
0.00395187;4.10429;-10.4769;
0.00396187;4.23268;-10.4769;
0.00397187;4.36107;-10.4769;
0.00398187;4.48944;-10.4769;
0.00399187;4.61779;-10.4768;
0.00400187;4.74614;-10.4768;
0.00401187;4.87447;-10.4768;
0.00402187;5.00279;-10.4768;
0.00403187;5.13109;-10.4768;
0.00404187;5.25939;-10.4768;
0.00405187;5.38767;-10.4768;
0.00406187;5.51593;-10.4768;
0.00407187;5.64419;-10.4766;
0.00408187;5.77243;-10.4759;
0.00409187;5.90066;-10.4745;
0.00410187;6.02887;-10.4725;
0.00411187;6.15707;-10.4697;
0.00412187;6.28526;-10.4661;
0.00413187;6.41344;-10.4615;
0.00414187;6.5416;-10.4553;
0.00415187;6.66974;-10.4466;
0.00416187;6.79788;-10.4319;
0.00416935;6.8937;-10.4072;
0.00416976;6.89893;-10.4047;
0.00417057;6.90938;-10.3985;
0.00417142;6.92027;-10.3894;
0.00417203;6.92803;-10.3792;
0.00417241;6.93297;-10.3685;
0.00417262;6.93564;-10.3594;
0.00417265;6.93605;-10.3576;
0.00417272;6.93688;-10.3534;
0.00417285;6.93855;-10.3419;
0.00417293;6.93968;-10.3299;
0.00417298;6.94045;-10.3179;
0.00417303;6.94115;-10.3026;
0.00417308;6.94195;-10.2788;
0.00417313;6.94302;-10.2346;
0.00417318;6.94413;-10.1692;
0.00417325;6.94573;-10.03;
0.00417333;6.94756;-9.817;
0.0041734;6.94974;-9.51076;
0.00417347;6.95239;-9.04773;
0.00417352;6.95397;-8.68235;
0.00417355;6.95495;-8.32177;
0.00417359;6.95517;-7.93675;
0.00417364;6.95441;-7.44865;
0.00417369;6.95331;-6.98548;
0.00417372;6.95272;-6.67049;
0.00417375;6.95232;-6.31738;
0.00417379;6.95216;-5.94118;
0.00417384;6.9522;-5.49461;
0.00417388;6.95238;-5.03848;
0.00417394;6.9527;-4.50202;
0.00417399;6.9531;-3.92798;
0.00417407;6.95374;-3.12712;
0.00417417;6.9546;-2.11184;
0.0041743;6.95573;-0.809166;
0.00417434;6.98598;-0.416033;
0.00417436;7.03624;-0.141345;
0.00417436;7.05939;-0.0126265;
0.00417437;7.07206;0.0859765;
0.00417438;7.08136;0.195635;
0.00417439;7.08557;0.309995;
0.0041744;7.0839;0.434475;
0.00417441;7.07721;0.55021;
0.00417441;7.06861;0.648686;
0.00417442;7.05965;0.735705;
0.00417443;7.04949;0.827905;
0.00417444;7.03792;0.931979;
0.00417445;7.02221;1.0814;
0.00417446;7.0103;1.20829;
0.00417447;7.00027;1.33206;
