time;V(U_a);V(U_tr);
6.15351e-05;11.424;8.34601;
6.16351e-05;11.4223;8.35027;
6.17351e-05;11.4241;8.35453;
6.18351e-05;11.4225;8.35878;
6.19351e-05;11.4243;8.36303;
6.20351e-05;11.4226;8.36727;
6.21351e-05;11.4244;8.37151;
6.22351e-05;11.4228;8.37574;
6.23351e-05;11.4246;8.37996;
6.24351e-05;11.4229;8.38418;
6.25351e-05;11.4247;8.38839;
6.26351e-05;11.423;8.3926;
6.27351e-05;11.4248;8.3968;
6.28351e-05;11.4232;8.401;
6.29351e-05;11.425;8.40519;
6.30351e-05;11.4233;8.40937;
6.31351e-05;11.4251;8.41355;
6.32351e-05;11.4234;8.41772;
6.33351e-05;11.4253;8.42189;
6.34351e-05;11.4236;8.42605;
6.35351e-05;11.4254;8.43021;
6.36351e-05;11.4237;8.43436;
6.37351e-05;11.4255;8.4385;
6.38351e-05;11.4239;8.44264;
6.39351e-05;11.4257;8.44677;
6.40351e-05;11.424;8.4509;
6.41351e-05;11.4258;8.45502;
6.42351e-05;11.4241;8.45914;
6.43351e-05;11.426;8.46325;
6.44351e-05;11.4243;8.46736;
6.45351e-05;11.4261;8.47146;
6.46351e-05;11.4244;8.47555;
6.47351e-05;11.4262;8.47964;
6.48351e-05;11.4245;8.48372;
6.49351e-05;11.4264;8.4878;
6.50351e-05;11.4247;8.49187;
6.51351e-05;11.4265;8.49594;
6.52351e-05;11.4248;8.5;
6.53351e-05;11.4267;8.50405;
6.54351e-05;11.4249;8.5081;
6.55351e-05;11.4268;8.51214;
6.56351e-05;11.4251;8.51618;
6.57351e-05;11.4269;8.52022;
6.58351e-05;11.4252;8.52424;
6.59351e-05;11.4271;8.52827;
6.60351e-05;11.4254;8.53228;
6.61351e-05;11.4272;8.53629;
6.62351e-05;11.4255;8.5403;
6.63351e-05;11.4273;8.5443;
6.64351e-05;11.4256;8.54829;
6.65351e-05;11.4275;8.55228;
6.66351e-05;11.4258;8.55627;
6.67351e-05;11.4276;8.56024;
6.68351e-05;11.4259;8.56422;
6.69351e-05;11.4278;8.56818;
6.70351e-05;11.426;8.57215;
6.71351e-05;11.4279;8.5761;
6.72351e-05;11.4262;8.58006;
6.73351e-05;11.428;8.584;
6.74351e-05;11.4263;8.58794;
6.75351e-05;11.4282;8.59188;
6.76351e-05;11.4264;8.59581;
6.77351e-05;11.4283;8.59973;
6.78351e-05;11.4266;8.60365;
6.79351e-05;11.4284;8.60756;
6.80351e-05;11.4267;8.61147;
6.81351e-05;11.4286;8.61538;
6.82351e-05;11.4268;8.61927;
6.83351e-05;11.4287;8.62317;
6.84351e-05;11.427;8.62705;
6.85351e-05;11.4289;8.63094;
6.86351e-05;11.4271;8.63481;
6.87351e-05;11.429;8.63868;
6.88351e-05;11.4272;8.64255;
6.89351e-05;11.4291;8.64641;
6.90351e-05;11.4274;8.65027;
6.91351e-05;11.4293;8.65412;
6.92351e-05;11.4275;8.65796;
6.93351e-05;11.4294;8.6618;
6.94351e-05;11.4276;8.66564;
6.95351e-05;11.4295;8.66946;
6.96351e-05;11.4278;8.67329;
6.97166e-05;11.4297;8.6764;
6.97774e-05;0.540436;8.67413;
6.98049e-05;0.0713234;8.67095;
6.98318e-05;0.0777721;8.66774;
6.98523e-05;0.0721526;8.66529;
6.98648e-05;0.0771498;8.66381;
6.98736e-05;0.0720563;8.66275;
6.98802e-05;0.0775903;8.66197;
6.98868e-05;0.0716598;8.66119;
6.98928e-05;0.0778915;8.66047;
6.98994e-05;0.0715463;8.65968;
6.99074e-05;0.0779254;8.65873;
6.99172e-05;0.0715514;8.65756;
6.99304e-05;0.0778887;8.65599;
